SampleID,Age,AgeSigma,Offset,OffsetSigma,SampleHeight,DistanceEdge
BT201,15965,391,2.5,0.5,90,8
BT203,16341,450,2.5,0.5,125,13
BT2A01,34247,760,4,1,80,22
BT301,106095,2427,14,2,40,70
BT302,80901,1804,14,2,55,55
BT303,67706,1997,14,2,40,50
BT304,64859,1441,14,2,40,110
BT305,45342,1224,14,2,50,126
BS401,99937,2544,14,2,20,52
BS402,87369,1946,14,2,20,40
BS501,58080,1570,23,3,60,8
BS503,37510,670,23,3,20,6
BS601,116230,2606,24,3,62,22
BS603,109518,2758,24,3,130,11
BS604,82113,1959,24,3,50,0
BS605,60102,1445,24,3,40,0
